batch_id,InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,rejection_reason,logged_at
full_historical_baseline,536414,22139,,56,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536545,21134,,1,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536546,22145,,1,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536547,37509,,1,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536549,85226A,,1,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536550,85044,,1,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536552,20950,,1,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536553,37461,,3,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536554,84670,,23,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536589,21777,,-10,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536764,84952C,,-38,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536765,84952C,,19,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536941,22734,amazon,20,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536942,22139,amazon,15,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536995,35951,,57,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536996,22712,,-20,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536997,22028,,-20,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536998,85067,,-6,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,536999,21421,,110,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,537000,21414,,-22,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,537001,21653,,-6,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
full_historical_baseline,537002,21651,,70,0.0,,United Kingdom,INVALID_OR_ZERO_UNIT_PRICE,2026-09-07T10:19:27.317099
